"Бренд","MPN","Наименование продукта","Цена","URL-адрес страницы","Данные о наличии продукта","Категория товара","Оценка товара","Количество отзывов"
"Samsung","S24D300H","Мониторы Samsung S24D300H",1635250,"https://goodzone.uz/product/monitory-samsung-s24d300h",0,"Мониторы",0,0
"Samsung","C27F396FHI","Монитор Samsung C27F396FHI",2215500,"https://goodzone.uz/product/monitor-samsung-c27f396fhi",3,"Мониторы",0,0
"Samsung","ME81KRW-1KBW","Микроволновая печь Samsung ART ME81KRW-1KBW",1086650,"https://goodzone.uz/product/mikrovolnovaya-pech-samsung-art-me81krw-1kbw",2,"Микроволновые печи",0,0
"Samsung","ME83KRS-1KBW","Микроволновая печь Samsung ART ME83KRS-1KBW",1107750,"https://goodzone.uz/product/mikrovolnovaya-pech-samsung-art-me83krs-1kbw",0,"Микроволновые печи",0,0
"Samsung","MS23F302TAKKBW","Микроволновая печь Samsung art MS23F302TAKKBW",1360950,"https://goodzone.uz/product/mikrovolnovaya-pech-samsung-art-ms23f302takkbw",0,"Микроволновые печи",0,0
"Samsung","ME81MRTB","Микроволновая печь Samsung ME81MRTB",1202700,"https://goodzone.uz/product/mikrovolnovaya-pech-samsung-me81mrtb",21,"Микроволновые печи",0,0
"Samsung","MC28H5135CK","Микроволновая печь Samsung MC28H5135CK",2268250,"https://goodzone.uz/product/mikrovolnovaya-pech-samsung-mc28h5135ck",0,"Микроволновые печи",0,0
"Samsung","MS23J5133AM","Микроволновая печь Samsung MS23J5133AM",1466450,"https://goodzone.uz/product/mikrovolnovaya-pech-samsung-ms23j5133am",24,"Микроволновые печи",0,0
"Samsung","MC32K7055CK/BW","Микроволновая печь Samsung MC32K7055CK/BW",2321000,"https://goodzone.uz/product/mikrovolnovaya-pech-samsung-mc32k7055ck-bw",4,"Микроволновые печи",0,0
"Samsung","ME88SUT","Микроволновая печь Samsung ME88SUT",1308200,"https://goodzone.uz/product/mikrovolnovaya-pech-samsung-me88sut",18,"Микроволновые печи",0,0
"Samsung","ME88SUB","Микроволновая печь Samsung ME88SUB",1308200,"https://goodzone.uz/product/mikrovolnovaya-pech-samsung-me88sub",6,"Микроволновые печи",0,0
"Samsung","GE83MRTS/BW","Микроволновая печь Samsung GE83MRTS/BW",1624700,"https://goodzone.uz/product/mikrovolnovaya-pech-samsung-ge83mrts-bw",0,"Микроволновые печи",0,0
"Samsung","MS23F302TAKKBW (ART)","Микроволновая печь Samsung ART MS23F302TAKKBW (ART)",1403150,"https://goodzone.uz/product/mikrovolnovaya-pech-samsung-art-ms23f302takkbw-art",2,"Микроволновые печи",0,0
